PLANT_CODE,BATCH_NO,SIMULATED_HEAT_NO,HR_GRADE,QUALITY_LEVEL,VENDOR_GRADE,BATCH_THICK,BATCH_WIDTH,BATCH_WEIGHT,SENT_DATE,SUPPLIER_TC_NO,CHEM_TREATMENT,SURFACE,REMARK,CARBON_PCT,CARBON_EQ,MANGANESE_PCT,PHOSPHORUS_PCT,SULPHUR_PCT,SILICON_PCT,ALUMINIUM_PCT,NITROGEN_PCT,NITROGEN_PPM,BORON_PCT,COPPER_PCT,CHROMIUM_PCT,NICKEL_PCT,TIN_PCT,YMPA,TMPA,EL_PCT,HARDNESS,UTS,YS,INNER_DIA,OUTER_DIA,READ_FLAG
2000,25F0660R00,68870490,CR3,PRIME,,2.5,1235,20.92,26-06-25,,NA,NA,,0.036,0.067,0.148,0.015,0.01,0.01,0.048,0,35,0.03,0.005,0.012,0.007,0.01,475,325,0.001,80,500,350,756,0,1
2000,25F0760R00,36571446,CR3,PRIME,,2.5,1235,21.125,27-06-25,,NA,NA,,0.04,0.065,0.13,0.011,0.008,0.008,0.051,0,45,0.03,0.006,0.012,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25F0793R00,82291039,CR2,PRIME,,4,1235,24.845,28-06-25,,NA,NA,,0.055,0.062,0.24,0.011,0.007,0.013,0.058,0,35,0.03,0.012,0.009,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25F0796R00,16748554,CR2,PRIME,,4,1235,25.54,28-06-25,,NA,NA,,0.055,0.062,0.24,0.011,0.007,0.013,0.058,0,35,0.03,0.012,0.009,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25F0832R00,71435093,CR3,PRIME,,2.5,1235,21.065,28-06-25,,NA,NA,,0.035,0.07,0.16,0.012,0.009,0.014,0.058,0,55,0.03,0.006,0.016,0.011,0.01,475,325,0.001,80,500,350,756,0,1
2000,25F0846R00,37461444,CR3,PRIME,,2,1230,21.125,28-06-25,,NA,NA,,0.035,0.07,0.16,0.012,0.009,0.014,0.058,0.001,55,0.03,0.006,0.016,0.011,0.01,475,325,0.001,80,500,350,756,0,1
2000,25F0855R00,51515662,CR3,PRIME,,2.5,1235,26.32,29-06-25,,NA,NA,,0.038,0.068,0.135,0.01,0.009,0.016,0.046,0,54,0.03,0.004,0.012,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25F0884R00,90435024,CR3,PRIME,,2.2,1235,27.81,30-06-25,,NA,NA,,0.038,0.068,0.14,0.01,0.009,0.016,0.046,0.001,52,0.03,0.004,0.012,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25F0894R00,55175676,CR3,PRIME,,2,1235,27.73,30-06-25,,NA,NA,,0.038,0.068,0.14,0.01,0.009,0.016,0.046,0,52,0.03,0.004,0.012,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25F0900R00,73206735,CR3,PRIME,,2.5,1235,23.91,30-06-25,,NA,NA,,0.044,0.067,0.14,0.012,0.009,0.016,0.045,0,53,0.03,0.004,0.02,0.011,0.01,475,325,0.001,80,500,350,756,0,1
2000,25F0933R00,42899947,CR3,PRIME,,2.2,1235,27.74,30-06-25,,NA,NA,,0.038,0.068,0.14,0.01,0.009,0.016,0.046,0,52,0.03,0.004,0.012,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25F0939R00,95622257,CR3,PRIME,,2.2,1235,27.79,30-06-25,,NA,NA,,0.038,0.068,0.14,0.01,0.009,0.016,0.046,0.001,52,0.03,0.004,0.012,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25F0955R00,89829368,CR3,PRIME,,2,1235,20.67,30-06-25,,NA,NA,,0.038,0.068,0.14,0.01,0.009,0.016,0.046,0,52,0.03,0.004,0.012,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25F0956R00,43990766,CR3,PRIME,,2.5,1235,21.015,30-06-25,,NA,NA,,0.038,0.068,0.14,0.01,0.009,0.016,0.046,0,52,0.03,0.004,0.012,0.009,0.01,475,325,0.001,80,500,350,756,0,1
